osm_id,state,city,county,district,city_district,town,suburb,village,neighbourhood,road,address,status
244461439,Tỉnh Bình Phước,Thành phố Đồng Xoài,,,,,,,,Nguyễn Thượng Hiền,"Nguyễn Thượng Hiền, Thành phố Đồng Xoài, Tỉnh Bình Phước",3
244461438,Tỉnh Bình Phước,Thành phố Đồng Xoài,,,,,,,,Lý Thường Kiệt,"Lý Thường Kiệt, Thành phố Đồng Xoài, Tỉnh Bình Phước",3
214238678,Tỉnh Quảng Nam,,Núi Thành,,,,,,,Quốc lộ 1,"Quốc lộ 1, Núi Thành, Tỉnh Quảng Nam",3
532520471,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Cầm Bá Thước,"Cầm Bá Thước, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
532520482,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Nguyễn Thiện Thuật,"Nguyễn Thiện Thuật, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
675571530,Tỉnh Quảng Nam,,Núi Thành,,,,,,,đường lớn,"đường lớn, Núi Thành, Tỉnh Quảng Nam",3
320626294,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Chiến Thắng,"Chiến Thắng, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
320626339,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Phạm Hồng Thái,"Phạm Hồng Thái, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
160663220,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Cầu Tam Phú,"Cầu Tam Phú, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
479723849,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Duy Tân,"Duy Tân, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
532520472,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Vườn Cừa,"Vườn Cừa, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
479723839,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Lê Thánh Tông,"Lê Thánh Tông, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
532520469,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Đinh Công Tráng,"Đinh Công Tráng, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
584397761,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Hạ Thanh,"Hạ Thanh, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
532520470,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Lê Trí Viễn,"Lê Trí Viễn, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
160663230,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Ngô Thì Nhậm,"Ngô Thì Nhậm, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
532520477,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Lê Ngọc Hân,"Lê Ngọc Hân, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
919002477,Quảng Ngãi,Quảng Ngãi,,,,,Phường Nguyễn Nghiêm,,,Võ Tòng,"Võ Tòng, Phường Nguyễn Nghiêm, Quảng Ngãi",3
921520715,Quảng Ngãi,Quảng Ngãi,,,,,Phường Trần Hưng Đạo,,,Phan Chu Trinh,"Phan Chu Trinh, Phường Trần Hưng Đạo, Quảng Ngãi",3
932259708,Quảng Ngãi,,Ba Tơ,,,,,,,627,"627, Ba Tơ, Quảng Ngãi",3
932259737,Quảng Ngãi,,Nghĩa Hành,,,,,,,624B,"624B, Nghĩa Hành, Quảng Ngãi",3
921560649,Quảng Ngãi,Quảng Ngãi,,,,,Phường Nguyễn Nghiêm,,,Nguyễn Bá Loan,"Nguyễn Bá Loan, Phường Nguyễn Nghiêm, Quảng Ngãi",3
921520712,Quảng Ngãi,Quảng Ngãi,,,,,Phường Trần Hưng Đạo,,,Phan Bội Châu,"Phan Bội Châu, Phường Trần Hưng Đạo, Quảng Ngãi",3
921520742,Quảng Ngãi,Quảng Ngãi,,,,,Phường Nguyễn Nghiêm,,,Phạm Văn Đồng,"Phạm Văn Đồng, Phường Nguyễn Nghiêm, Quảng Ngãi",3
933697642,Quảng Ngãi,,Ba Tơ,,,Ba Tơ,,,,Phạm Văn Đồng,"Phạm Văn Đồng, Ba Tơ, Quảng Ngãi",3
1064802890,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Chợ Bà Hòa,"Chợ Bà Hòa, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
933697702,Quảng Ngãi,,Ba Tơ,,,Ba Tơ,,,,629,"629, Ba Tơ, Quảng Ngãi",3
920587194,Quảng Ngãi,Quảng Ngãi,,,,,Phường Quảng Phú,,,Hoàng Hoa Thám,"Hoàng Hoa Thám, Phường Quảng Phú, Quảng Ngãi",3
921576177,Quảng Ngãi,Quảng Ngãi,,,,,Phường Nghĩa Chánh,,,Đinh Tiên Hoàng,"Đinh Tiên Hoàng, Phường Nghĩa Chánh, Quảng Ngãi",3
